店舗名,住所
マックスバリュ南陽店,山形県南陽市赤湯２８８５
マックスバリュ最上店,山形県最上郡最上町大字向町字村尻２８６-５
マックスバリュ真室川店,山形県最上郡真室川町大字新町字下荒川２７９
マックスバリュ白鷹店,山形県西置賜郡白鷹町大字荒砥乙字田中道５３５-１
マックスバリュ余目店,山形県東田川郡庄内町余目字滑石５７-１
マックスバリュ遊佐エルパ店,山形県飽海郡遊佐町大字小原田字沼田１２
マックスバリュ蕨店,埼玉県蕨市塚越５丁目６番３５号
マックスバリュ稲毛長沼店,千葉県千葉市稲毛区長沼町１１２-２
マックスバリュおゆみ野店,千葉県千葉市緑区おゆみ野南５丁目３７-１
マックスバリュエクスプレス市川店,千葉県市川市新田５丁目６番３号
マックスバリュ習志野台店,千葉県船橋市習志野台５丁目３９番１号
マックスバリュ木更津太田店,千葉県木更津市太田４-１８
マックスバリュ木更津請西店,千葉県木更津市請西南２丁目２７番１号
マックスバリュ野田七光台店,千葉県野田市七光台４番-２
マックスバリュ成田富里店,千葉県成田市東町１３３番地
マックスバリュ東習志野店,千葉県習志野市東習志野６丁目７番８号
マックスバリュ松ヶ崎店,千葉県柏市大山台１-６
マックスバリュ辰巳台店,千葉県市原市辰巳台東１-２
マックスバリュエクスプレス六郷土手駅前店,東京都大田区西六郷４丁目１６番６号
マックスバリュエクスプレス北烏山店,東京都世田谷区北烏山７丁目２番１２号
マックスバリュ竹の塚店,東京都足立区竹の塚５丁目２番１４号
マックスバリュエクスプレス保木間店,東京都足立区保木間２-３３-１３
マックスバリュエクスプレス梅島店,東京都足立区梅田６-９-１６ショッピングタウンカリブフードレット食品宝島内
マックスバリュエクスプレス松島店,東京都江戸川区松島１丁目３１-１７
マックスバリュエクスプレス船堀駅前店,東京都江戸川区船堀４-７-１４
マックスバリュエクスプレス平山団地店,東京都日野市東平山１-７-６
マックスバリュ田無芝久保店,東京都西東京市芝久保町１丁目１２-５
マックスバリュエクスプレス木月住吉店,神奈川県川崎市中原区木月住吉町２１番１６号
マックスバリュ津田山店,神奈川県川崎市高津区下作延５-２０-１
マックスバリュ平塚河内店,神奈川県平塚市河内１２８-１
マックスバリュ平塚四之宮店,神奈川県平塚市四之宮２-１８-２６
マックスバリュ小田原荻窪店,神奈川県小田原市荻窪４４７-１
マックスバリュエクスプレス茅ヶ崎浜須賀店,神奈川県茅ヶ崎市松が丘２-１０-１６
マックスバリュエクスプレス茅ヶ崎若松店,神奈川県茅ヶ崎市若松町２-２４
マックスバリュ秦野渋沢店,神奈川県秦野市堀川１１９-１
マックスバリュ秦野東田原店,神奈川県秦野市東田原９６-１
マックスバリュエクスプレス厚木下荻野店,神奈川県厚木市下荻野４５３-１
マックスバリュ厚木妻田店,神奈川県厚木市妻田北２-１３-１６
マックスバリュ南足柄岩原店,神奈川県南足柄市岩原２８６
マックスバリュエクスプレス寒川中瀬店,神奈川県高座郡寒川町中瀬２-１０
マックスバリュ開成駅前店,神奈川県足柄上郡開成町吉田島４３５０-１
マックスバリュ開成店,神奈川県足柄上郡開成町延沢７３０-１
マックスバリュ湯河原店,神奈川県足柄下郡湯河原町中央１-２１-１
マックスバリュ糸魚川店,新潟県糸魚川市上刈６丁目１番３８号
マックスバリュ上飯野店,富山県富山市上飯野４１-５
マックスバリュ氷見店,富山県氷見市窪１４０-１
マックスバリュ黒部コラーレ前店,富山県黒部市植木７７１番地１
マックスバリュ射水鷲塚店,富山県射水市鷲塚７２番地１
マックスバリュ上市店,富山県中新川郡上市町正印２５７
マックスバリュ金沢駅西本町店,石川県金沢市駅西本町５丁目２番１３号
マックスバリュ金沢しめの店,石川県金沢市戸板西１丁目５５番地
マックスバリュ東金沢駅前店,石川県金沢市高柳町１３の１番１
マックスバリュ増泉店,石川県金沢市増泉４丁目３-３
マックスバリュエクスプレス片山津店,石川県加賀市潮津町ロ１８
マックスバリュ羽咋店,石川県羽咋市石野町イ７
マックスバリュ野々市店,石川県野々市市白山町４番１号
マックスバリュ内灘店,石川県河北郡内灘町千鳥台４丁目１番
マックスバリュエクスプレス福井北四ツ居店,福井県福井市北四ツ居１丁目２５番１号ウエルシア薬局福井北四ツ居店内
マックスバリュエクスプレス敦賀中央町店,福井県敦賀市中央町二丁目４番ウエルシア薬局敦賀中央町店内
マックスバリュ九頭龍店（生鮮館）,福井県大野市南新在家３５-３８
マックスバリュ鯖江上河端町店（生鮮館）,福井県鯖江市上河端町３-２５ウエルシア薬局鯖江上河端町店内
マックスバリュエクスプレス鯖江下野田店,福井県鯖江市下野田町２５字１
マックスバリュ武生店生鮮館,福井県越前市畑町第５-１８
マックスバリュ富士河口湖店,山梨県南都留郡富士河口湖町小立８０１７-１
マックスバリュ岐阜元町店,岐阜県岐阜市元町１丁目１１番
