店舗名,住所
マックスバリュ男鹿店,秋田県男鹿市脇本脇本字石館１６
マックスバリュ新川口店,秋田県由利本荘市川口字八幡前３-１９６
マックスバリュ矢島店,秋田県由利本荘市矢島町元町字間木１２３
マックスバリュ御門町店,秋田県由利本荘市御門１８６
マックスバリュ石脇店,秋田県由利本荘市石脇字田尻野４-６２
マックスバリュ本荘店,秋田県由利本荘市東梵天２５７
マックスバリュ本荘中央店,秋田県由利本荘市岩渕下１８
マックスバリュ新西目店,秋田県由利本荘市西目町沼田字新道下１１１１-１
マックスバリュ天王店,秋田県潟上市天王字蒲沼６３-２７
マックスバリュ太田店,秋田県大仙市太田町横沢字窪関南５２０
マックスバリュ刈和野店,秋田県大仙市刈和野字沼田１２-１
マックスバリュ神岡店,秋田県大仙市神宮寺字蓮沼３７-８
マックスバリュ協和店,秋田県大仙市協和上淀川字上淀川１０-１
マックスバリュ金浦店,秋田県にかほ市金浦字花潟３００-１
マックスバリュ武道島店,秋田県にかほ市象潟町字武道島１４４-２
マックスバリュにかほ店,秋田県にかほ市平沢字天ケ町８２
マックスバリュ小坂店,秋田県鹿角郡小坂町小坂鉱山字栗平２５-１
マックスバリュ琴丘店,秋田県山本郡三種町鹿渡字浜村下１３１
マックスバリュ西馬音内店,秋田県雄勝郡羽後町字南西馬音内２１３
マックスバリュ東原町店,山形県山形市東原町四丁目１７-７
マックスバリュ山形駅西口店,山形県山形市双葉町１丁目３-４７
マックスバリュ青田店,山形県山形市青田４-１-３
マックスバリュエクスプレス南三番町店,山形県山形市南三番町６-１５
マックスバリュ米沢駅前店,山形県米沢市下花沢二丁目５番６０号
マックスバリュ白山店,山形県鶴岡市白山字西木村１９-１
マックスバリュ藤島店,山形県鶴岡市藤浪５丁目１-１
マックスバリュあつみ店,山形県鶴岡市鼠ケ関字奥田１６
マックスバリュ鶴岡南店,山形県鶴岡市ほなみ町９-３５
マックスバリュ平田店,山形県酒田市砂越字粕町７３-１
マックスバリュ東泉店,山形県酒田市東泉町４丁目１-１５
マックスバリュ新庄店,山形県新庄市五日町字清水川１２９１-２
マックスバリュ寒河江西店,山形県寒河江市大字寒河江字塩水６９
マックスバリュ高松店,山形県寒河江市大字高松字郷野目２７４
マックスバリュ寒河江中央店,山形県寒河江市ほなみ２丁目１番地の９
マックスバリュ天童店,山形県天童市鍬ノ町二丁目２番４０号
