店舗名,住所
マックスバリュ南１５条店,北海道札幌市中央区南１５条西１４丁目１-２２
マックスバリュマルヤマクラス店,北海道札幌市中央区南１条西２７-１-１
マックスバリュ北１条東店,北海道札幌市中央区北１条東６丁目１０番地９
マックスバリュ山鼻店,北海道札幌市中央区南１０条西１１丁目１番４号
マックスバリュ北３２条店,北海道札幌市北区北３２条西１３丁目１-１
マックスバリュ新琴似店,北海道札幌市北区新琴似１０条２丁目
マックスバリュ北店,北海道札幌市北区北２５条西４-２-５
マックスバリュエクスプレス新川３条店,北海道札幌市北区新川３条３丁目３番２３号
マックスバリュ北２６条店,北海道札幌市東区北２６条東１５-１-２０
マックスバリュ元町店,北海道札幌市東区北１７条東１６丁目１-１０
マックスバリュ光星店,北海道札幌市東区北１３条東７丁目５番２０号
マックスバリュエクスプレス新道店,北海道札幌市東区北３４条東１６丁目１-３０
マックスバリュ北４０条店,北海道札幌市東区北４０条東１丁目３-１
マックスバリュ東札幌店,北海道札幌市白石区東札幌四条１丁目１番　Ｂタウン１階
マックスバリュ菊水店,北海道札幌市白石区菊水２条２-１-１１
マックスバリュエクスプレス中の島店,北海道札幌市豊平区中の島１条１丁目７-１４
マックスバリュ月寒西店,北海道札幌市豊平区月寒中央通２丁目１番１５号
マックスバリュ澄川店,北海道札幌市南区澄川４条２-２-６
マックスバリュ琴似３条店,北海道札幌市西区琴似３条７丁目５番１６号
マックスバリュ琴似店,北海道札幌市西区琴似２条４-１-８
マックスバリュエクスプレス発寒南駅前店,北海道札幌市西区西町北８丁目５-１９
マックスバリュ八軒５条店,北海道札幌市西区八軒５条西４丁目３番１号
マックスバリュ厚別店,北海道札幌市厚別区厚別南５-２２-５０
マックスバリュ厚別東店,北海道札幌市厚別区厚別東１条１-３-１
マックスバリュ新発寒店,北海道札幌市手稲区新発寒２条１丁目１-３
マックスバリュ北野店,北海道札幌市清田区北野７条３丁目７番１５号
マックスバリュ堀川店,北海道函館市堀川町４-５
マックスバリュ石川店,北海道函館市石川町２２６-６
マックスバリュ弁天店,北海道函館市弁天町１１-１６
マックスバリュ万代店,北海道函館市万代町１-１６
マックスバリュ深堀店,北海道函館市深堀町３番２０号
マックスバリュ若松店,北海道函館市若松町２５番１号
マックスバリュ手宮店,北海道小樽市手宮１丁目２-１
マックスバリュ室蘭東店,北海道室蘭市東町１丁目１２-１７
マックスバリュ稲田店,北海道帯広市西５条南３５丁目２-２６
マックスバリュ春駒通店,北海道帯広市西１９条南４丁目２５番７号
マックスバリュ西陵店,北海道帯広市西１８条南２丁目５-１７
マックスバリュ留萌店,北海道留萌市南町４丁目７３-１
マックスバリュ澄川町店,北海道苫小牧市澄川町３丁目１番１号
マックスバリュ支笏湖通り店,北海道苫小牧市元中野町２丁目８番１０号
マックスバリュ新花園店,北海道苫小牧市花園町１丁目６番２０号
マックスバリュ沼ノ端店,北海道苫小牧市北栄町３丁目１番８号
マックスバリュ弥生店,北海道苫小牧市弥生町１丁目９番１号
マックスバリュ日新店,北海道苫小牧市日新町２丁目５番２２号
マックスバリュ芦別店,北海道芦別市北４条西１丁目３番地
マックスバリュ上江別店,北海道江別市上江別４４２番１６号
マックスバリュ赤平店,北海道赤平市赤平５６３-１
マックスバリュ名寄店,北海道名寄市字徳田８８-６
マックスバリュ滝川店,北海道滝川市南滝の川１１５-４
マックスバリュ滝川本町店,北海道滝川市本町４丁目５番４号
マックスバリュ深川店,北海道深川市５条２０-１
マックスバリュ登別店,北海道登別市富岸町１丁目１番地
マックスバリュ恵庭店,北海道恵庭市恵央町１１-１
マックスバリュ北広島店,北海道北広島市美沢４丁目１番２号
マックスバリュ八雲店,北海道二海郡八雲町東雲町２０-５
マックスバリュ倶知安店,北海道虻田郡倶知安町南１１条西１丁目３０番
マックスバリュ共和店,北海道岩内郡共和町梨野舞納１８-１
マックスバリュ栗山店,北海道夕張郡栗山町朝日４丁目３１-１
マックスバリュ富川店,北海道沙流郡日高町富川南２丁目２-５
マックスバリュ静内店,北海道日高郡新ひだか町静内木場町１-１-６９
マックスバリュ音更店,北海道河東郡音更町木野大通東１０丁目６-２７
マックスバリュ中札内店,北海道河西郡中札内村大通南６丁目３-１-８
マックスバリュ池田店,北海道中川郡池田町字利別南町１７-２３
マックスバリュ浪打店,青森県青森市花園２-２３-１０
マックスバリュ幸畑店,青森県青森市幸畑３-１-８
マックスバリュ浜田店,青森県青森市大字浜田字玉川１９６番地１０
マックスバリュ安原店,青森県弘前市大字泉野１丁目４番地５
マックスバリュ岩木店,青森県弘前市大字一町田字村元７１１-１
マックスバリュ弘前城北店,青森県弘前市大字石渡４-２-１
マックスバリュ樋の口店,青森県弘前市大字樋の口２丁目９-６
マックスバリュ八戸城下店,青森県八戸市城下２-１１
マックスバリュ八戸上組店,青森県八戸市大字上組町３３番地
マックスバリュ黒石店,青森県黒石市錦町２
マックスバリュ松島店,青森県五所川原市字鎌谷町５１９-１
マックスバリュ十和田南店,青森県十和田市大字相坂字小林２１番
マックスバリュ北園店,青森県十和田市西二十一番町１４-１３
マックスバリュ三沢大町店,青森県三沢市大町２丁目１２-１
マックスバリュ平賀店,青森県平川市小和森上松岡１９３-１
マックスバリュ平内店,青森県東津軽郡平内町大字小湊外ノ沢４０番地
マックスバリュ鰺ヶ沢店,青森県西津軽郡鰺ヶ沢町大字舞戸町字下富田６４-２
マックスバリュ深浦店,青森県西津軽郡深浦町大字深浦字吾妻沢１-２４
マックスバリュ新おおわに店,青森県南津軽郡大鰐町大字大鰐字前田２７
マックスバリュ板柳店,青森県北津軽郡板柳町大字灰沼字東２６５-１
マックスバリュ野辺地店,青森県上北郡野辺地町字二本木２４-１
マックスバリュ三戸店,青森県三戸郡三戸町大字川守田字下比良１８-１
マックスバリュ盛岡駅前北通店,岩手県盛岡市盛岡駅前北通１１-１
マックスバリュ盛岡中屋敷店,岩手県盛岡市中屋敷町９番２５号
マックスバリュ花巻店,岩手県花巻市中根子字堂前５５
マックスバリュ石鳥谷店,岩手県花巻市石鳥谷町八幡第３地割９-１
マックスバリュ北上店,岩手県北上市里分４地割７７番地
マックスバリュ西根店,岩手県八幡平市平舘第２５地割２８６番地
マックスバリュ紫波店,岩手県紫波郡紫波町北日詰字東ノ坊７１-１
マックスバリュ港北店,秋田県秋田市土崎港北７丁目２番２０
マックスバリュ河辺店,秋田県秋田市河辺和田字北条ケ崎１４-８
マックスバリュ泉店,秋田県秋田市泉北一丁目１１番１７号
マックスバリュエクスプレス新屋関町店,秋田県秋田市新屋町字関町後２０８-２
マックスバリュ能代北店,秋田県能代市落合字砂田７１-１
マックスバリュ平鹿町店,秋田県横手市平鹿町浅舞字中東１２７
マックスバリュ十文字南店,秋田県横手市十文字町佐賀会字上沖田２８６番地
マックスバリュ新雄物川店,秋田県横手市雄物川町沼館字佐田２７番地
